상호명,위도(lat),경도(lon),소재지,count
스파,37.6616423693886,127.058001700205,서울 노원구 동일로 1493 주공10단지종합상가111,283
부일카서비스,35.1400559949767,129.063051640925,부산 동구 자성로133번길 35,273
일등복권편의점,35.84220335202,128.53619207262,대구 달서구 대명천로 220 1층,181
로또명당인주점,36.8776246747002,126.896939492238,충남 아산시 서해로 519-2,160
로또휴게실,37.2564421961903,127.104288530612,경기 용인시 기흥구 용구대로 1885,155
제이복권방,37.5712522392538,127.002841251476,서울 종로구 종로 225-1 평창빌딩 1층 103호,138
목화휴게소,35.0017600909728,128.054209521477,경남 사천시 사천대로 912,136
세진전자통신,35.8718986373835,128.555199068014,대구 서구 서대구로 156,122
잠실매점,37.5144273491608,127.100611434725,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,119
뉴빅마트,35.3210954459104,129.179271340486,부산 기장군 정관중앙로 48 106호,109
J수퍼,37.5810824141205,127.04606817414,서울 동대문구 왕산로 211,107
돈벼락맞는곳,35.1391633871025,129.059927746208,부산 동구 조방로49번길 18-1,102
종합가판점,37.5796967482384,127.044971447146,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽,92
대박천하마트,37.5115550103661,126.726281656042,인천 부평구 굴포로 48,83
복권명당(서부점),35.8336179655221,128.554778643349,대구 달서구 월배로 452,79
천하명당복권방,37.2666421379776,127.00188252772,경기 수원시 팔달구 매산로 2,78
알리바이,35.1853841277982,126.836651090564,광주 광산구 수등로 253 1층 알리바이,78
올인(allin),37.1353247172474,126.910560606791,경기 화성시 3.1만세로 1147,75
영화유통(1등복권방),35.5336719925462,129.322573930961,울산 남구 신정로 19 삼성아파트 상가 204-101,75
오천억복권방,35.1530093775319,126.880710968618,광주 서구 상무대로 1087,72
복권백화점,37.7636424754166,126.769937632465,경기 파주시 평화로 70,70
세방매점,35.8767053945528,129.226487475664,경북 경주시 산업로 4447 (용강동),70
행복한집,37.1377821209271,127.074115360976,경기 오산시 경기대로148번길 8,70
월드24시,37.619245156065,126.919784349949,서울 은평구 통일로 855-15,65
셀프카메라,35.1544437969643,129.02166775818,부산 부산진구 가야대로443번길 30,63
다니엘사,37.326166138141,126.803777208185,경기 안산시 단원구 원선1로 38 101호,63
행복충전소,37.0818046094419,127.05641264977,경기 평택시 탄현로 332-2,61
NG24,36.0798023213393,128.41185037286,경북 칠곡군 북중리3길 59,59
북마산복권전문점,35.2157976111259,128.5708476059,경남 창원시 마산합포구 북성로 98,59
대박찬스,36.6289872301065,127.436471677705,충북 청주시 흥덕구 가경로161번길 3,58
노다지복권방,37.2351637037009,127.210500032181,경기 용인시 처인구 금령로 130,58
토큰판매소,37.5367003001398,127.122365863486,서울 송파구 바람드리길 62,57
가판점(신문),37.5344782651567,126.901007845326,서울 영등포구 양평로 50-2,57
복권전문점,37.5037479776282,126.715141923592,인천 부평구 원적로 437,56
알리바이(나주점),35.0313297380285,126.717157991346,전남 나주시 나주로 142 알리바이,56
천하명당복권,35.9443081130851,128.550664555604,대구 북구 칠곡중앙대로 545,56
묵동식품,37.6124704724842,127.077065869395,서울 중랑구 동일로 919,56
미나식품(로또판매점),37.5735122642965,126.810687895379,서울 강서구 금낭화로 91-12,56
영광정보통신,37.6026895361453,127.042513488444,서울 성북구 화랑로 92 1층 우측1호,56
행운복권방,37.8288310388135,127.147524808484,경기 포천시 솔모루로 86-1,54
율암25시편의점,37.1666551746861,126.88149774836,경기 화성시 시청로 822,54
로또판매점,37.9202440936011,127.220917325327,경기 포천시 호국로 1900,53
라이프마트,37.4522187238946,126.603934106976,인천 중구 연안부두로53번길 36 5호,53
또또복권방,35.9598215855702,126.97168964717,전북 익산시 고봉로32길 3,52
황금복권마트,37.2994173476175,127.437983885227,경기 이천시 증신로325번길 5 1층,51
로또킹,37.5167419411213,126.906749912597,서울 영등포구 영중로 2 1층(영등포동3가),50
마두5번출구가판로또,37.6537937511119,126.777205372111,경기 고양시 일산동구 중앙로 1200,50
로터리편의마트,36.0407438144895,129.367247292456,경북 포항시 북구 서동로 85 육거리,49
보람복권방,35.5417183137108,129.341582181223,울산 남구 화합로194번길 18-1 1층,49
종합복권슈퍼,37.3457443131004,126.735588934187,경기 시흥시 마유로 336 정일빌딩104,48
행복한사람들 (흥부네),37.3551963053282,127.327489673943,경기 광주시 경충대로 746 1층 102호,48
흥건슈퍼,35.7947338145287,127.116660014765,전북 전주시 완산구 거마평로 25 흥건슈퍼,48
창원병원앞매표소,35.2184583350843,128.671367820293,경남 창원시 성산구 중앙동 104-1번지 가판,48
복권나라,37.4828013647636,126.943500830574,서울 관악구 남부순환로 1739-9,48
로또명당가두판매점,37.3946167137316,126.941416089614,경기 안양시 동안구 경수대로 848-2,48
종로3가1호선역2번출구가로판매점82호,37.5707099565421,126.991896039813,서울 종로구 돈화문로 23 가판,47
로또복권두정점,36.8334828622531,127.145014385719,충남 천안시 서북구 두정로 251 대원빌딩104호,46
진평양행,37.7512348337798,128.89409118199,강원 강릉시 임영로 107,44
썬마트,36.632588427906,127.4281248183,충북 청주시 흥덕구 진재로23번길 25,44
로또명당해미점,36.7134821631912,126.544214492603,충남 서산시 남문2로 108,44
불국사명당복권,35.7765090145288,129.298152168717,경북 경주시 산업로 3033,43
메트로센터점,35.8644213158621,128.593340834492,대구 중구 달구벌대로 지하 2100 메트로센터C412호,43
천하명당복권방,36.6007306064042,126.669480865526,충남 홍성군 조양로 180,43
현대장미슈퍼,35.9549102215529,126.980450476439,전북 익산시 동서로61길 41 어양동 현대A 상가동 108호,43
평안당,37.5712267549342,127.002191724794,서울 종로구 종로 219,42
노다지복권방,37.5728590429558,127.014382022091,서울 종로구 종로 331 1층,42
오케이상사,37.5039351769908,127.002413006799,서울 서초구  신반포로 176 센트럴시티내100호매점,42
그랜드마트앞가판점,37.5549939272318,126.936001762116,서울 마포구 신촌로 94,41
빅세일복권방,35.1582886945541,129.058077420074,부산 부산진구 서면문화로 6,41
기장슈퍼,35.243881875159,129.216517117269,부산 기장군 차성동로 69,41
팡팡복권마트.잡화슈퍼,35.8343899520291,127.133283047612,전북 전주시 덕진구 가리내로 26,41
베스트올수성점,35.5817670520118,126.854448910252,전북 정읍시 수성2로 28,40
버스판매소,37.5167419411213,126.906749912597,서울 영등포구 영중로 2 1층(영등포동3가),40
오케이상사,37.5043641148563,127.003620888061,서울 서초구 반포동 19-3번지 센트럴시티내100호매점,40
버스표가판점,37.3897444934598,126.951495618409,경기 안양시 동안구 동안로 125-2 범계역4-1출구앞 버스표가판점,40
대산슈퍼,36.7699366210473,127.250220402203,충남 천안시 동남구 복구정3길 1,40
천하명당복권방,34.8917029847155,128.694852511716,경남 거제시 옥포성안로 60,40
경성식품,37.5903959972497,127.059877891806,서울 동대문구 망우로21길 52,40
제일슈퍼,37.4086563679205,126.67082587945,인천 연수구 앵고개로 242 제일상가112호,40
주택복권방,37.3238820289351,127.097479916042,경기 용인시 수지구 풍덕천로 144-1 103호,39
풍전슈퍼,37.4970897523205,126.79116652651,경기 부천시 조마루로 428,39
청룡마트,36.7977940545113,127.154463600038,충남 천안시 동남구 풍세로 1010-31 현대아파트상가B-102호,39
교통카드충전소,37.6345200961672,126.832227144303,경기 고양시 덕양구 화정로 58 화정역 2번출구,39
노다지복권방,37.4481115959699,126.792011443336,경기 시흥시 복지로 103-1 1층상가,38
한꿈복권방,35.5687727562348,129.345871744291,울산 중구 번영로 586,38
복권나라,36.7839561792603,127.580914940543,충북 증평군 중앙로 199-1,38
복권명당,36.4718573097719,127.133096848142,충남 공주시 번영1로 41,38
명당골복권방,37.2510979892754,127.035486437565,경기 수원시 권선구 동수원로242번길 15 104호,38
대성기획,37.2949073386736,127.117903169762,경기 용인시 기흥구 구성로 75-1,38
서재강변로또,35.8786604420863,128.496966192201,대구 달성군 서재로 172,37
종합복권방,34.5708118929938,126.610855130658,전남 해남군 해남로 34,37
왕대박복권방,36.5881011716474,128.192949198212,경북 문경시 중앙로 15,37
