년도,회차,추첨일,1등_당첨자수,1등_당첨금액,2등_당첨자수,2등_당첨금액,3등_당첨자수,3등_당첨금액,4등_당첨자수,4등_당첨금액,5등_당첨자수,5등_당첨금액,당첨번호_1,당첨번호_2,당첨번호_3,당첨번호_4,당첨번호_5,당첨번호_6,보너스번호
2025,1194,20251018,28,985155349,99,46438300,5442,844799,186820,50000,2884544,5000,3,13,15,24,33,37,2
2025,1193,20251011,16,1717013508,84,54508366,3635,1259616,175936,50000,2782376,5000,6,9,16,19,24,28,17
2025,1192,20251004,29,1079546587,95,54924300,3476,1501096,171551,50000,2841016,5000,10,16,23,36,39,40,11
2025,1191,20250927,18,1536334355,132,34916690,3649,1263087,184758,50000,2905296,5000,1,4,11,12,20,41,2
2025,1190,20250920,6,4622793813,113,40909680,3293,1403825,168764,50000,2752776,5000,7,9,19,23,26,45,33
2025,1189,20250913,13,2263651299,167,29368730,3121,1571477,152345,50000,2577694,5000,9,19,29,35,37,38,31
2025,1188,20250906,24,1074625172,111,38725232,3713,1157690,188314,50000,2901056,5000,3,4,12,19,22,27,9
2025,1187,20250830,11,2619380012,79,60787300,3147,1525961,152448,50000,2557090,5000,5,13,26,29,37,40,42
2025,1186,20250823,14,1985676911,89,52058946,3226,1436221,162707,50000,2628810,5000,2,8,13,16,23,28,35
2025,1185,20250816,12,2388695125,79,60473295,2903,1645674,153798,50000,2566276,5000,6,17,22,28,29,32,38
2025,1184,20250809,15,1910655600,95,50280411,3115,1533432,155556,50000,2576710,5000,14,16,23,25,31,37,42
2025,1183,20250802,13,2073966000,92,48843403,3623,1240297,169030,50000,2680548,5000,4,15,17,23,27,36,31
2025,1182,20250726,13,2124785424,79,58274706,3015,1526933,156025,50000,2616958,5000,1,13,21,25,28,31,22
2025,1181,20250719,17,1593643500,86,52503759,3109,1452340,155938,50000,2596371,5000,8,10,14,20,33,41,28
2025,1180,20250712,11,2535566421,72,64563034,3010,1544365,153274,50000,2567395,5000,6,12,18,37,40,41,3
2025,1179,20250705,13,2162821097,63,74382737,2989,1567787,148832,50000,2516368,5000,3,16,18,24,40,44,21
2025,1178,20250628,12,2391608407,89,53744010,3061,1562633,157044,50000,2653841,5000,5,6,11,27,43,44,17
2025,1177,20250621,6,4576672000,75,61022294,3111,1471126,157438,50000,2644128,5000,3,7,15,16,19,43,21
2025,1176,20250614,13,2052166154,89,49959102,3533,1258523,171545,50000,2746919,5000,7,9,11,21,30,35,29
2025,1175,20250607,20,1384026094,92,50145873,3178,1451675,164364,50000,2723718,5000,3,4,6,8,32,42,31
2025,1174,20250531,15,1910619425,85,56194689,3196,1494540,158944,50000,2670129,5000,8,11,14,17,36,39,22
2025,1173,20250524,24,1179946063,94,50210471,3139,1503595,163678,50000,2689832,5000,1,5,18,20,30,35,3
2025,1172,20250517,13,2203004452,98,48705881,3059,1560372,152897,50000,2590472,5000,7,9,24,40,42,44,45
2025,1171,20250510,21,1128345286,148,26683842,5317,742752,211503,50000,3094806,5000,3,6,7,11,12,17,19
2025,1170,20250503,20,1386550969,103,44872200,5668,815427,163866,50000,2637401,5000,3,13,28,34,38,42,25
2025,1169,20250426,10,2852735813,112,42451426,3244,1465648,160483,50000,2668194,5000,5,12,24,26,39,42,20
2025,1168,20250419,13,2136635914,74,62559160,3514,1317410,166163,50000,2712545,5000,9,21,24,30,33,37,29
2025,1167,20250412,10,2884087913,69,69663960,2942,1633859,157094,50000,2614372,5000,8,23,31,35,39,40,24
2025,1166,20250405,14,2072319938,80,60442665,2803,1725085,147837,50000,2456735,5000,14,23,25,27,29,42,16
2025,1165,20250329,13,2192485270,91,52202031,3173,1497128,158014,50000,2630455,5000,6,7,27,29,38,45,17
2025,1164,20250322,13,2193092164,76,62522365,3470,1369366,170045,50000,2807095,5000,17,18,23,25,38,39,22
2025,1163,20250315,15,1936891150,75,64563039,3386,1430074,168204,50000,2795027,5000,2,13,15,16,33,43,4
2025,1162,20250308,36,823931021,78,63379310,4752,1040317,160953,50000,2538565,5000,20,21,22,25,28,29,6
2025,1161,20250301,16,1792657969,117,40858302,4107,1163970,181457,50000,2859815,5000,2,12,20,24,34,42,37
2025,1160,20250222,12,2509359875,84,59746664,3176,1580202,160611,50000,2681692,5000,7,13,18,36,39,45,19
2025,1159,20250215,23,1284854250,110,44775224,3742,1316215,177373,50000,2826061,5000,3,9,27,28,38,39,7
2025,1158,20250208,21,1394358197,86,56747136,3032,1609583,155209,50000,2610120,5000,21,25,27,32,37,38,20
2025,1157,20250201,12,2257842157,141,32026130,4549,992677,201847,50000,3100779,5000,5,7,12,20,25,26,28
2025,1156,20250125,21,1505207090,73,72167464,3494,1507792,162883,50000,2706409,5000,30,31,34,39,41,45,7
2025,1155,20250118,7,4066375179,78,60821851,3171,1496091,160366,50000,2654046,5000,10,16,19,27,37,38,13
2025,1154,20250111,15,1854965425,62,74796993,3190,1453735,154785,50000,2559114,5000,4,8,22,26,32,38,27
2025,1153,20250104,15,2027312925,79,64155473,3506,1445603,167692,50000,2848165,5000,1,9,10,13,35,44,5
2024,1152,20241228,35,874349668,79,64561685,3354,1520684,146890,50000,2440804,5000,30,31,32,35,36,37,5
2024,1151,20241221,17,1620503030,102,45013974,3351,1370166,163055,50000,2635014,5000,2,3,9,15,27,29,8
2024,1150,20241214,17,1570620309,226,19690668,3413,1303865,166846,50000,2626598,5000,8,9,18,35,39,45,25
2024,1149,20241207,17,1613380765,74,61773588,2924,1563354,145209,50000,2448589,5000,8,15,19,21,32,36,38
2024,1148,20241130,13,2073332308,97,46311547,3082,1457567,154963,50000,2581682,5000,3,6,13,15,16,22,32
2024,1147,20241123,8,3323422079,83,53388307,3588,1235014,173036,50000,2750379,5000,7,11,24,26,27,37,32
2024,1146,20241116,11,2526476353,72,64331574,3030,1528672,158146,50000,2677017,5000,6,11,17,19,40,43,28
2024,1145,20241109,9,3051630084,63,72657860,3312,1382079,164055,50000,2647054,5000,2,11,31,33,37,44,32
2024,1144,20241102,18,1489347375,94,47532364,3626,1232224,172239,50000,2766594,5000,3,4,12,15,26,34,6
2024,1143,20241026,11,2545657023,90,51855977,3154,1479721,156400,50000,2612029,5000,10,16,17,27,28,36,6
2024,1142,20241019,9,3117517709,67,69795173,2841,1645997,146936,50000,2474033,5000,2,8,28,30,37,41,22
2024,1141,20241012,11,2457758285,100,45058902,3371,1336663,165233,50000,2718563,5000,7,11,12,21,26,35,20
2024,1140,20241005,12,2279823938,83,54935517,3345,1363124,158343,50000,2644989,5000,7,10,22,29,31,38,15
